Batch, Epoch, L2Reg, LearningRate, L1KernelSize, Accuracy, Precision, Recall, F1 Score 
16.0, 15.0, 5.0E-4, 0.02, 2.0, 0.3333, 0.3333, 0.3333, 0.5000, 
16.0, 15.0, 5.0E-4, 0.02, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 15.0, 5.0E-4, 0.02, 4.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 15.0, 5.0E-4, 0.02, 5.0, 0.7778, 0.8667, 0.7778, 0.7798, 
16.0, 15.0, 5.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 15.0, 5.0E-4, 0.01, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 15.0, 5.0E-4, 0.01, 4.0, 0.8889, 0.9024, 0.8889, 0.8880, 
16.0, 15.0, 5.0E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 15.0, 5.0E-4, 0.005, 2.0, 0.8889, 0.8880, 0.8889, 0.8866, 
16.0, 15.0, 5.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 15.0, 5.0E-4, 0.005, 4.0, 0.8519, 0.8561, 0.8519, 0.8490, 
16.0, 15.0, 5.0E-4, 0.005, 5.0, 0.8519, 0.8524, 0.8519, 0.8465, 
16.0, 15.0, 5.0E-4, 0.001, 2.0, 0.4444, 0.5238, 0.4444, 0.5333, 
16.0, 15.0, 5.0E-4, 0.001, 3.0, 0.3704, 0.4239, 0.3704, 0.4038, 
16.0, 15.0, 5.0E-4, 0.001, 4.0, 0.5926, 0.6743, 0.5926, 0.7332, 
16.0, 15.0, 5.0E-4, 0.001, 5.0, 0.5556, 0.7315, 0.5556, 0.4995, 
16.0, 15.0, 2.0E-4, 0.02, 2.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 15.0, 2.0E-4, 0.02, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 15.0, 2.0E-4, 0.02, 4.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 15.0, 2.0E-4, 0.02, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
