Batch, Epoch, L2Reg, LearningRate,log_lr, L1KernelSize, Accuracy, Precision, Recall, F1 Score 
16,31,0.01,0.1,-1,3,0.4074,0.5208,0.4074,0.4394
16,32,0.01,0.001,-3,6,0.3333,0.3333,0.3333,0.5
16,34,0.001,0.1,-1,6,0.3333,0.3333,0.3333,0.5
16,33,0.01,0.01,-2,3,0.3333,0.3333,0.3333,0.5
16,21,0.1,0.001,-3,2,0.3333,0.3333,0.3333,0.5
16,15,0.1,0.1,-1,3,0.3333,0.3333,0.3333,0.5
16,29,0.01,0.01,-2,5,0.3333,0.3333,0.3333,0.5
16,17,0.1,0.01,-2,3,0.3333,0.3333,0.3333,0.5
16,26,0.01,0.1,-1,2,0.3333,0.3333,0.3333,0.5
16,15,0.1,0.001,-3,5,0.3333,0.3333,0.3333,0.5
16,20,0.1,0.01,-2,5,0.3333,0.3333,0.3333,0.5
16,18,0.01,0.1,-1,2,0.5185,0.6404,0.5185,0.4982
16,23,0.01,0.01,-2,3,0.3704,0.6731,0.3704,0.3571
16,24,0.001,0.1,-1,4,0.5926,0.769,0.5926,0.5577
16,33,0.1,0.1,-1,4,0.3333,0.3333,0.3333,0.5
16,31,0.001,0.1,-1,3,0.7778,0.8667,0.7778,0.7798
16,28,0.01,0.1,-1,6,0.3704,0.6731,0.3704,0.3571
16,15,0.001,0.01,-2,6,0.8148,0.8244,0.8148,0.813
16,26,0.01,0.1,-1,2,0.6296,0.7667,0.6296,0.6178
16,26,0.001,0.01,-2,2,0.8889,0.9061,0.8889,0.8825
16,22,0.01,0.1,-1,3,0.3704,0.43,0.3704,0.3556
16,17,0.1,0.1,-1,4,0.3333,0.3333,0.3333,0.5
16,22,0.1,0.001,-3,6,0.3333,0.3333,0.3333,0.5
16,25,0.01,0.01,-2,2,0.3333,0.3333,0.3333,0.5
16,20,0.01,0.1,-1,3,0.4074,0.5208,0.4074,0.4394
16,32,0.01,0.01,-2,4,0.3333,0.3333,0.3333,0.5
16,31,0.001,0.1,-1,2,0.5556,0.7143,0.5556,0.7
16,24,0.001,0.01,-2,4,0.7778,0.8258,0.7778,0.7575
16,22,0.01,0.1,-1,3,0.5926,0.7769,0.5926,0.531
16,20,0.01,0.1,-1,4,0.6296,0.6944,0.6296,0.7778
